Date;Longitude;Latitude;Depth;Rms;Type;Magnitude;Location;EventID
2023-02-09T04:31:28;36.843;37.344;7;0.42;ML;2.1;Türkoğlu (Kahramanmaraş);544720
2023-02-09T04:26:13;38.709;38.169;7.15;0.67;ML;2.4;Pütürge (Malatya);544717
2023-02-09T04:24:18;38.146;37.989;7;0.37;ML;2.5;Doğanşehir (Malatya);544716
2023-02-09T04:18:20;36.354;37.966;7;0.5;MW;4.2;Göksun (Kahramanmaraş);544714
2023-02-09T04:17:13;36.607;37.106;7.22;0.49;ML;3.1;İslahiye (Gaziantep);544715
2023-02-09T04:12:37;37.824;37.803;7;0.58;ML;2.8;Gölbaşı (Adıyaman);544713
2023-02-09T04:10:40;37.425;38.044;6.91;0.26;ML;2.9;Elbistan (Kahramanmaraş);544712
2023-02-09T04:09:15;36.746;38.113;6.96;0.62;ML;3.3;Göksun (Kahramanmaraş);544711
2023-02-09T04:08:16;36.89;37.386;6.71;0.36;ML;2.6;Türkoğlu (Kahramanmaraş);544710
2023-02-09T04:04:34;36.856;37.391;6.88;0.41;ML;2.6;Türkoğlu (Kahramanmaraş);544709
2023-02-09T04:02:20;36.363;37.972;7;0.84;ML;2.6;Göksun (Kahramanmaraş);544708
2023-02-09T04:01:30;36.182;36.329;7.06;0.11;ML;2.9;Antakya (Hatay);544707
2023-02-09T03:52:18;38.541;38.106;7.01;0.34;MW;3.9;Sincik (Adıyaman);544703
2023-02-09T03:46:47;26.023;38.986;7.02;0.57;ML;1.8;Ege Denizi - [49.42 km] Karaburun (İzmir);544706
2023-02-09T03:46:37;38.411;37.996;7;0.6;ML;2.9;Çelikhan (Adıyaman);544704
2023-02-09T03:46:07;36.426;38.021;7.03;0.37;ML;3.4;Göksun (Kahramanmaraş);544705
2023-02-09T03:40:18;36.639;37.852;11.76;0.63;ML;3.3;Onikişubat (Kahramanmaraş);544701
2023-02-09T03:36:54;36.876;37.384;9.19;0.3;ML;2.9;Türkoğlu (Kahramanmaraş);544700
2023-02-09T03:34:19;38.144;38.248;7;0.54;ML;3.3;Yeşilyurt (Malatya);544702
2023-02-09T03:31:45;36.958;37.169;7;0.16;ML;3;Nurdağı (Gaziantep);544699
2023-02-09T03:26:03;38.685;38.19;7.05;0.33;MW;4.1;Pütürge (Malatya);544698
2023-02-09T03:24:52;36.406;36.693;5.2;0.56;MW;3.9;Hassa (Hatay);544697
2023-02-09T03:10:29;41.491;40.037;6.83;0.06;ML;1.2;Pasinler (Erzurum);544695
2023-02-09T03:07:20;36.986;37.292;10.54;0.22;ML;2.9;Türkoğlu (Kahramanmaraş);544693
2023-02-09T03:04:15;38.236;38.294;7;0.6;ML;3;Yeşilyurt (Malatya);544694
2023-02-09T03:00:44;43.337;38.742;7.01;0.7;ML;1.6;Tuşba (Van);544696
2023-02-09T02:55:19;36.391;36.071;7.45;0.24;ML;3.5;Harem, İdlib (Suriye) - [01.84 km] Altınözü (Hatay);544692
2023-02-09T02:53:34;37.139;38.078;6.98;0.88;ML;3.1;Ekinözü (Kahramanmaraş);544691
2023-02-09T02:46:32;37.243;38.075;7;0.52;ML;2.8;Elbistan (Kahramanmaraş);544690
2023-02-09T02:42:54;35.974;35.977;17.08;0.47;ML;3.1;Yayladağı (Hatay);544689
2023-02-09T02:34:28;37.037;37.215;6.62;0.76;ML;2.8;�?ehitkamil (Gaziantep);544688
2023-02-09T02:33:16;37.123;37.522;10.82;0.2;ML;3.1;Dulkadiroğlu (Kahramanmaraş);544687
2023-02-09T02:24:06;36.896;37.356;7.08;0.23;ML;2.8;Türkoğlu (Kahramanmaraş);544686
2023-02-09T02:20:52;37.17;37.449;9.45;0.29;ML;3.2;Dulkadiroğlu (Kahramanmaraş);544685
2023-02-09T02:09:22;36.864;37.392;5.1;0.32;ML;3.1;Türkoğlu (Kahramanmaraş);544684
2023-02-09T02:08:19;36.574;37.994;8.5;0.75;ML;3.7;Göksun (Kahramanmaraş);544683
2023-02-09T02:02:11;36.538;38.061;26.66;0.48;ML;3.6;Göksun (Kahramanmaraş);544682
2023-02-09T01:54:10;36.563;36.89;7.32;0.46;ML;2.5;İslahiye (Gaziantep);544681
2023-02-09T01:44:18;37.672;37.937;7.74;0.32;MW;4.5;Doğanşehir (Malatya);544679
2023-02-09T01:38:13;40.353;38.552;7.04;0.59;MW;4.4;Genç (Bingöl);544678
2023-02-09T01:33:07;37.475;38.004;12.01;0.77;ML;3.1;Nurhak (Kahramanmaraş);544680
2023-02-09T01:21:45;36.49;38.041;6.89;0.51;MW;3.5;Göksun (Kahramanmaraş);544676
2023-02-09T01:17:10;40.812;40.017;7;0.23;ML;2;Aşkale (Erzurum);544677
2023-02-09T01:14:17;37.562;37.94;7;0.52;ML;3.3;Nurhak (Kahramanmaraş);544674
2023-02-09T01:08:46;36.552;37.994;6.85;0.72;ML;3.5;Göksun (Kahramanmaraş);544673
2023-02-09T01:04:56;36.496;37.973;7;0.52;ML;2.7;Göksun (Kahramanmaraş);544671
2023-02-09T01:01:45;36.808;37.364;5.83;0.44;ML;2.7;Türkoğlu (Kahramanmaraş);544672
2023-02-09T01:00:23;30.139;37.746;7;0.39;ML;1.5;Burdur Gölü - [04.89 km] Merkez (Burdur);544675
2023-02-09T00:59:34;40.189;39.152;7.03;0.65;MW;3.6;Karakoçan (Elazığ);544670
2023-02-09T00:54:01;35.944;36.142;7;0.2;ML;2.4;Samandağ (Hatay);544666
2023-02-09T00:51:27;37.843;38.119;6.95;0.48;ML;3.5;Doğanşehir (Malatya);544664
2023-02-09T00:49:36;36.499;36.659;7;0.06;ML;2;Hassa (Hatay);544668
2023-02-09T00:47:28;36.093;36.074;7;0.39;ML;2.4;Yayladağı (Hatay);544665
2023-02-09T00:46:13;30.444;40.671;7;0.68;ML;1.9;Erenler (Sakarya);544669
2023-02-09T00:45:28;36.372;36.591;7;0.44;ML;2.4;Kırıkhan (Hatay);544667
2023-02-09T00:41:22;36.969;37.424;7;0.68;ML;2.4;Dulkadiroğlu (Kahramanmaraş);544662
2023-02-09T00:36:33;36.255;36.428;7;0.49;ML;3.2;Belen (Hatay);544663
2023-02-09T00:32:14;39.282;38.455;0.21;0.44;MW;4.1;Sivrice (Elazığ);544661
2023-02-09T00:28:51;38.25;38.238;7.2;0.6;ML;2.3;Yeşilyurt (Malatya);544660
2023-02-09T00:22:59;36.635;37.863;7;0.49;ML;3.2;Onikişubat (Kahramanmaraş);544659
2023-02-09T00:17:59;36.358;36.327;6.39;0.4;ML;3.8;Reyhanlı (Hatay);544658
2023-02-09T00:11:43;36.464;38.041;6.99;0.7;ML;3.4;Göksun (Kahramanmaraş);544656
2023-02-09T00:08:50;36.236;36.283;6.85;0.65;ML;3.2;Antakya (Hatay);544657
2023-02-09T00:06:02;37.174;37.473;7.01;0.28;ML;3.3;Dulkadiroğlu (Kahramanmaraş);544655
2023-02-09T00:05:26;36.924;37.116;7;0.23;ML;3.2;Nurdağı (Gaziantep);544654
2023-02-09T00:00:50;36.771;37.24;7;0.34;ML;3.1;Türkoğlu (Kahramanmaraş);544653
2023-02-08T23:58:40;36.956;37.157;6.98;0.57;ML;3.2;Nurdağı (Gaziantep);544647
2023-02-08T23:53:39;37.261;38.031;7.01;0.62;ML;3;Nurhak (Kahramanmaraş);544648
2023-02-08T23:52:45;36.696;38.126;7.53;0.28;ML;3.1;Göksun (Kahramanmaraş);544649
2023-02-08T23:49:16;39.748;38.924;7;0.21;ML;2.3;Mazgirt (Tunceli);544652
2023-02-08T23:47:10;36.436;36.701;7;0.35;ML;3.7;Hassa (Hatay);544646
2023-02-08T23:47:00;40.017;38.978;7.28;2.93;ML;2.3;Karakoçan (Elazığ);544651
2023-02-08T23:41:20;36.492;37.991;11.35;0.68;ML;3;Göksun (Kahramanmaraş);544650
2023-02-08T23:37:39;36.567;37.818;7.04;1.15;ML;2.8;Onikişubat (Kahramanmaraş);544645
2023-02-08T23:33:12;35.856;36.324;7.16;0.33;ML;3.1;Arsuz (Hatay);544644
2023-02-08T23:31:27;35.877;36.718;7.21;0.34;ML;3;Akdeniz - İskenderun Körfezi - [09.27 km] Yumurtalık (Adana);544643
2023-02-08T23:27:30;36.038;37.837;7.18;0.35;ML;3.5;Feke (Adana);544641
2023-02-08T23:26:28;36.476;38.04;7;0.5;ML;3.4;Göksun (Kahramanmaraş);544640
2023-02-08T23:25:14;36.393;37.057;7;0.62;ML;3.8;Merkez (Osmaniye);544642
2023-02-08T23:20:55;36.646;37.999;7;0.58;ML;3.3;Göksun (Kahramanmaraş);544639
2023-02-08T23:15:40;36.586;37.994;7;0.75;ML;3.4;Onikişubat (Kahramanmaraş);544638
2023-02-08T23:14:28;36.856;37.252;8.82;0.5;ML;3.4;Nurdağı (Gaziantep);544634
2023-02-08T23:14:05;36.913;37.452;7.28;0.48;ML;2.2;Dulkadiroğlu (Kahramanmaraş);544635
2023-02-08T23:12:25;33.034;37.644;7.01;0.8;ML;2.5;Çumra (Konya);544636
2023-02-08T23:12:03;33.022;37.581;6.98;0.79;ML;2.3;Çumra (Konya);544637
2023-02-08T23:07:26;37.087;37.383;7;0.12;ML;2.2;Dulkadiroğlu (Kahramanmaraş);544633
2023-02-08T23:01:29;36.49;38.072;7.01;0.72;ML;3.5;Göksun (Kahramanmaraş);544632
2023-02-08T22:57:53;37.268;37.546;7.39;0.4;ML;2.6;Pazarcık (Kahramanmaraş);544628
2023-02-08T22:49:47;38.179;37.973;7;0.82;ML;2.4;Merkez (Adıyaman);544631
2023-02-08T22:48:03;36.426;38.021;7;0.52;ML;3;Göksun (Kahramanmaraş);544630
2023-02-08T22:46:00;36.495;38.109;7.01;0.79;ML;2.7;Göksun (Kahramanmaraş);544629
2023-02-08T22:36:48;38.209;38.314;13.78;0.64;ML;4.1;Yeşilyurt (Malatya);544627
2023-02-08T22:36:15;36.968;37.194;9.87;0.25;ML;2.8;Nurdağı (Gaziantep);544626
2023-02-08T22:32:48;38.537;38.133;6.92;0.22;ML;3.3;Sincik (Adıyaman);544625
2023-02-08T22:30:55;36.41;36.729;6.24;0.15;ML;3.1;Hassa (Hatay);544624
2023-02-08T22:16:09;37.955;38.236;12.84;0.74;ML;3.1;Akçadağ (Malatya);544623
2023-02-08T22:13:18;37.717;37.685;10.89;0.46;ML;3.2;Besni (Adıyaman);544622
2023-02-08T22:08:33;36.436;38.025;6.98;1;ML;3.3;Göksun (Kahramanmaraş);544621
2023-02-08T22:06:03;36.826;37.251;7.04;0.51;ML;3.7;Türkoğlu (Kahramanmaraş);544618
2023-02-08T22:04:30;36.29;36.303;7;0.47;ML;2.8;Antakya (Hatay);544619
2023-02-08T22:03:45;36.458;36.604;7;0.42;ML;2.1;Kırıkhan (Hatay);544620
